timestamp_seconds,process_name,process_type,cpu_percent,gpu_percent,process_used_memory_mb,system_total_memory_mb,system_free_memory_mb
1718550041,Taskmgr.exe,主进程,3.1,0.0,102.3046875,32620.05859375,18390.7109375
1718550043,Taskmgr.exe,主进程,4.6,0.0,102.17578125,32620.05859375,18388.68359375
1718550046,Taskmgr.exe,主进程,3.1,0.0,102.11328125,32620.05859375,18392.05078125
1718550048,Taskmgr.exe,主进程,1.5,0.0,101.9296875,32620.05859375,18405.8984375
1718550050,Taskmgr.exe,主进程,3.1,0.0,101.84765625,32620.05859375,18419.421875
1718550053,Taskmgr.exe,主进程,3.1,0.0,101.80859375,32620.05859375,18415.046875
1718550055,Taskmgr.exe,主进程,3.1,0.0,101.640625,32620.05859375,18424.703125
1718550058,Taskmgr.exe,主进程,1.6,0.0,101.62109375,32620.05859375,18430.2265625
1718550060,Taskmgr.exe,主进程,4.6,0.0,101.56640625,32620.05859375,18420.64453125
1718550062,Taskmgr.exe,主进程,3.1,0.0,102.32421875,32620.05859375,18417.671875
1718550065,Taskmgr.exe,主进程,2.4,0.0,102.31640625,32620.05859375,18411.96875
